poem_id,poem_title,language,status,field_path,severity,resolved_value,model_value,note
MV++_0004,Brahmaputra,Assamese,completed,annotation.stanzas[1].metaphor_spans,low,dropped,তোমাৰ স্রোত / হৃদয়ৰ গভীৰতাত বয়,metaphor_source_term_not_in_source
MV++_0004,Brahmaputra,Assamese,completed,annotation.stanzas[1].metaphor_spans,low,dropped,মোৰ চিন্তাৰ সঙ্গীতত / বহা তোমাৰ গতি,metaphor_source_term_not_in_source
MV++_0006,Jibon,Assamese,completed,annotation.stanzas[1].metaphor_spans,low,dropped,জীৱন তুমি এক বুৰঞ্জী,metaphor_source_term_not_in_source
MV++_1057,Safar Mein Dhoop To Hogi,Kannada,completed,annotation.stanzas[1].metaphor_spans,low,dropped,ಧೂಪ್,metaphor_source_term_not_in_source
MV++_1057,Safar Mein Dhoop To Hogi,Kannada,completed,annotation.stanzas[1].metaphor_spans,low,dropped,ಚಾಂದನೀ ರಾತೇಂ,metaphor_source_term_not_in_source
MV++_1057,Safar Mein Dhoop To Hogi,Kannada,completed,annotation.stanzas[1].metaphor_spans,low,dropped,ರಾಹೇಂ,metaphor_source_term_not_in_source
MV++_1116,Mareyada Haadu,Kannada,completed,annotation.stanzas[3].metaphor_spans,low,dropped,ಬೆಳಕಿನ ಚಿಮ್ಮುವ ಕನಸುಗಳು,metaphor_source_term_not_in_source
MV++_1121,Kannada,Kannada,salvaged,annotation.cultural_entities,medium,dropped,ಕನ್ನಡ ನಾಡು,entity_term_not_in_source
MV++_1123,Hachchevu Kannadada Deepa,Kannada,salvaged,annotation.cultural_entities,medium,dropped,ಕನ್ನಡ ನಾಡು,entity_term_not_in_source
MV++_1174,Oru Nattu Vakkukaran,Malayalam,salvaged,annotation.cultural_entities,medium,dropped,സത്യം,entity_term_not_in_source
MV++_1185,Eigi Ningthem,Manipuri,salvaged,annotation.cultural_entities,medium,dropped,इरेई थोंगबा,entity_term_not_in_source
MV++_1215,Loona,Punjabi,completed,annotation.stanzas[1].metaphor_spans,low,dropped,ਅੱਗ ਦਾ ਦਰਿਆ,metaphor_source_term_not_in_source
MV++_1215,Loona,Punjabi,completed,annotation.stanzas[1].metaphor_spans,low,dropped,ਚੰਦਨ ਦੀ ਦੇਹੀ,metaphor_source_term_not_in_source
MV++_1215,Loona,Punjabi,completed,annotation.stanzas[1],medium,lost,lost,stanza_in_alignment_risk_poem
MV++_1215,Loona,Punjabi,completed,annotation.stanzas[2],medium,lost,lost,stanza_in_alignment_risk_poem
MV++_1215,Loona,Punjabi,completed,annotation.stanzas[3],medium,lost,lost,stanza_in_alignment_risk_poem
MV++_1235,Bhagavad Gita,Sanskrit,salvaged,annotation.stanzas[2].metaphor_spans,low,dropped,शोकमुच्छोषणमिन्द्रियाणाम्,metaphor_source_term_not_in_source
MV++_1235,Bhagavad Gita,Sanskrit,salvaged,annotation.stanzas[2].metaphor_spans,low,dropped,असपत्नमृद्धं राज्यं,metaphor_source_term_not_in_source
MV++_1235,Bhagavad Gita,Sanskrit,salvaged,annotation.cultural_entities,medium,dropped,सुराणाम्,entity_term_not_in_source
MV++_1235,Bhagavad Gita,Sanskrit,salvaged,annotation.cultural_entities,medium,dropped,शोकम्,entity_term_not_in_source
MV++_1235,Bhagavad Gita,Sanskrit,salvaged,annotation.cultural_entities,medium,dropped,इन्द्रियाणाम्,entity_term_not_in_source
MV++_1253,Chinnanjiru Kiliye,Tamil,salvaged,annotation.cultural_entities,medium,dropped,பிறந்த நாள்,entity_term_not_in_source
MV++_1284,Kannanin Satham,Tamil,salvaged,annotation.stanzas[1].metaphor_spans,low,dropped,நெஞ்சின் மயில்,metaphor_source_term_not_in_source
MV++_1284,Kannanin Satham,Tamil,salvaged,annotation.cultural_entities,medium,dropped,கண்ணன்,entity_term_not_in_source
MV++_1284,Kannanin Satham,Tamil,salvaged,annotation.cultural_entities,medium,dropped,மயில்,entity_term_not_in_source
MV++_1297,Kannanum Kanni,Tamil,salvaged,annotation.cultural_entities,medium,dropped,கண்ணன்,entity_term_not_in_source
MV++_1351,Nilavin Oli,Tamil,salvaged,annotation.cultural_entities,medium,dropped,அன்பு,entity_term_not_in_source
MV++_1367,Oliyin Sirippu,Tamil,salvaged,annotation.cultural_entities,medium,dropped,இருள்,entity_term_not_in_source
MV++_1425,Kannanin Vaasal,Tamil,salvaged,annotation.cultural_entities,medium,dropped,கண்ணன்,entity_term_not_in_source
MV++_1425,Kannanin Vaasal,Tamil,salvaged,annotation.cultural_entities,medium,dropped,காதல்,entity_term_not_in_source
MV++_1440,Oh neeli Chandamama,Telugu,completed,annotation.stanzas[1].metaphor_spans,low,dropped,గాలి... చెప్పింది,metaphor_source_term_not_in_source
